Entity,Code,Year,Total population (Fink-Jensen 2015)
Afghanistan,AFG,1500,2000
Afghanistan,AFG,1600,2500
Afghanistan,AFG,1700,2500
Afghanistan,AFG,1800,3280
Afghanistan,AFG,1820,3280
Afghanistan,AFG,1850,3750
Afghanistan,AFG,1870,4207
Afghanistan,AFG,1900,5000
Afghanistan,AFG,1910,5730
Afghanistan,AFG,1920,12000
Afghanistan,AFG,1930,7000
Afghanistan,AFG,1940,7000
Afghanistan,AFG,1950,8150.368
Afghanistan,AFG,1960,9829.45
Afghanistan,AFG,1970,12430.623
Afghanistan,AFG,1980,15112.149
Afghanistan,AFG,1990,14669.339
Afghanistan,AFG,2000,23898.197999999997
Albania,ALB,1500,200
Albania,ALB,1600,200
Albania,ALB,1700,300
Albania,ALB,1800,400
Albania,ALB,1820,437
Albania,ALB,1850,500
Albania,ALB,1870,603
Albania,ALB,1890,726
Albania,ALB,1900,800
Albania,ALB,1910,874
Albania,ALB,1920,932
Albania,ALB,1930,982
Albania,ALB,1940,1088
Albania,ALB,1950,1227.156
Albania,ALB,1960,1623.114
Albania,ALB,1970,2156.612
Albania,ALB,1980,2671.4120000000003
Albania,ALB,1990,3250.778
Albania,ALB,2000,3473.835
Algeria,DZA,1500,1500
Algeria,DZA,1600,2250
Algeria,DZA,1700,1750
Algeria,DZA,1800,2500
Algeria,DZA,1820,2689
Algeria,DZA,1850,2838.45251464
Algeria,DZA,1860,3138.55459222
Algeria,DZA,1870,3470.38566879
Algeria,DZA,1880,3837.3003674999995
Algeria,DZA,1890,4243.00798693
Algeria,DZA,1900,4675.31097562
Algeria,DZA,1910,5495.16573087
Algeria,DZA,1920,5779.43747122
Algeria,DZA,1930,6452.56837937
Algeria,DZA,1940,7689.04317076
Algeria,DZA,1950,8925.44337653
Algeria,DZA,1960,10784
Algeria,DZA,1970,13931.846000000001
Algeria,DZA,1980,18806.061
Algeria,DZA,1990,25089
Algeria,DZA,2000,30429
Andorra,AND,1800,2.654
Andorra,AND,1820,2.654
Andorra,AND,1910,5
Andorra,AND,1920,6
Andorra,AND,1930,5
Andorra,AND,1950,6.176
Andorra,AND,1960,8.392000000000001
Andorra,AND,1970,19.545
Andorra,AND,1980,33.584
Andorra,AND,1990,52.836999999999996
Andorra,AND,2000,66.824
Angola,AGO,1800,1567.0279999999998
Angola,AGO,1820,1567.0279999999998
Angola,AGO,1850,2428.94652862
Angola,AGO,1860,2602.34457717
Angola,AGO,1870,2790.35530308
Angola,AGO,1880,2934.37263766
Angola,AGO,1890,3085.15127696
Angola,AGO,1900,2935.01881378
Angola,AGO,1910,2708.49233581
Angola,AGO,1920,2602.08210055
Angola,AGO,1930,3019.82250776
Angola,AGO,1940,3470.25163661
Angola,AGO,1950,4148
Angola,AGO,1960,5012
Angola,AGO,1970,5605.626
Angola,AGO,1980,6743
Angola,AGO,1990,8297
Angola,AGO,2000,10377
Antigua and Barbuda,ATG,1800,37
Antigua and Barbuda,ATG,1850,37
Antigua and Barbuda,ATG,1860,37
Antigua and Barbuda,ATG,1870,35
Antigua and Barbuda,ATG,1880,35
Antigua and Barbuda,ATG,1890,37
Antigua and Barbuda,ATG,1900,35
Antigua and Barbuda,ATG,1910,32
Antigua and Barbuda,ATG,1920,30
Antigua and Barbuda,ATG,1930,31
Antigua and Barbuda,ATG,1940,42
Antigua and Barbuda,ATG,1950,45.816
Antigua and Barbuda,ATG,1960,54.5
Antigua and Barbuda,ATG,1970,65.624
Antigua and Barbuda,ATG,1980,68.546
Antigua and Barbuda,ATG,1990,64
Antigua and Barbuda,ATG,2000,75
Argentina,ARG,1500,300
Argentina,ARG,1550,300
Argentina,ARG,1600,300
Argentina,ARG,1650,300
Argentina,ARG,1700,300
Argentina,ARG,1750,400
Argentina,ARG,1800,534
Argentina,ARG,1810,406
Argentina,ARG,1820,534
Argentina,ARG,1830,634
Argentina,ARG,1840,768
Argentina,ARG,1850,1100
Argentina,ARG,1860,1304
Argentina,ARG,1870,1796
Argentina,ARG,1890,3376
Argentina,ARG,1900,4693
Argentina,ARG,1910,6836
Argentina,ARG,1920,8861
Argentina,ARG,1930,11896
Argentina,ARG,1940,14169
Argentina,ARG,1950,17150.336
Argentina,ARG,1960,20616.009
Argentina,ARG,1970,23962.313
Argentina,ARG,1980,28369.799
Argentina,ARG,1990,33036
Argentina,ARG,2000,37336
Armenia,ARM,1800,413.32599999999996
Armenia,ARM,1820,413.32599999999996
Armenia,ARM,1950,1355.269
Armenia,ARM,1960,1868.852
Armenia,ARM,1970,2519.745
Armenia,ARM,1980,3115.289
Armenia,ARM,1990,3376.783
Armenia,ARM,2000,3042.5559999999996
Australia,AUS,1500,450
Australia,AUS,1600,450
Australia,AUS,1700,450
Australia,AUS,1800,200
Australia,AUS,1820,334
Australia,AUS,1830,330
Australia,AUS,1840,420
Australia,AUS,1850,605
Australia,AUS,1860,1326
Australia,AUS,1870,1775
Australia,AUS,1880,2197
Australia,AUS,1890,3107
Australia,AUS,1900,3741
Australia,AUS,1910,4375
Australia,AUS,1920,5358
Australia,AUS,1930,6469
Australia,AUS,1940,7042
Australia,AUS,1950,8267.337
Australia,AUS,1960,10361.273000000001
Australia,AUS,1970,12660.16
Australia,AUS,1980,14615.9
Australia,AUS,1990,16956
Australia,AUS,2000,19053
Austria,AUT,1500,2000
Austria,AUT,1600,2500
Austria,AUT,1650,2250
Austria,AUT,1700,2500
Austria,AUT,1750,2750
Austria,AUT,1800,3000
Austria,AUT,1820,3369
Austria,AUT,1830,3538
Austria,AUT,1840,3716
Austria,AUT,1850,3950
Austria,AUT,1860,4235
Austria,AUT,1870,4520
Austria,AUT,1880,4941
Austria,AUT,1890,5394
Austria,AUT,1900,5973
Austria,AUT,1910,6614
Austria,AUT,1920,6455
Austria,AUT,1930,6684
Austria,AUT,1940,6705
Austria,AUT,1950,6935.1
Austria,AUT,1960,7047.437
Austria,AUT,1970,7467.085999999999
Austria,AUT,1980,7549.433000000001
Austria,AUT,1990,7722.953
Austria,AUT,2000,8113.4130000000005
Azerbaijan,AZE,1800,879.96
Azerbaijan,AZE,1820,879.96
Azerbaijan,AZE,1950,2885.3320000000003
Azerbaijan,AZE,1960,3881.546
Azerbaijan,AZE,1970,5168.973
Azerbaijan,AZE,1980,6173.361
Azerbaijan,AZE,1990,7199.838000000001
Azerbaijan,AZE,2000,7809
Bahamas,BHS,1800,27.35
Bahamas,BHS,1820,27.35
Bahamas,BHS,1850,28
Bahamas,BHS,1860,35
Bahamas,BHS,1870,39
Bahamas,BHS,1880,44
Bahamas,BHS,1890,48
Bahamas,BHS,1900,54
Bahamas,BHS,1910,56
Bahamas,BHS,1920,53
Bahamas,BHS,1930,60
Bahamas,BHS,1940,69
Bahamas,BHS,1950,70.498
Bahamas,BHS,1960,112.234
Bahamas,BHS,1970,170.32299999999998
Bahamas,BHS,1980,209.94400000000002
Bahamas,BHS,1990,257.253
Bahamas,BHS,2000,290.075
Bahrain,BHR,1800,64.47399999999999
Bahrain,BHR,1820,64.47399999999999
Bahrain,BHR,1870,64.47399999999999
Bahrain,BHR,1910,81.882
Bahrain,BHR,1920,120
Bahrain,BHR,1930,120
Bahrain,BHR,1940,120
Bahrain,BHR,1950,114.84
Bahrain,BHR,1960,156.648
Bahrain,BHR,1970,219.543
Bahrain,BHR,1980,347.56800000000004
Bahrain,BHR,1990,500.476
Bahrain,BHR,2000,634.137
Bangladesh,BGD,1600,12918.659
Bangladesh,BGD,1700,15789.473
Bangladesh,BGD,1820,20000
Bangladesh,BGD,1870,24721
Bangladesh,BGD,1910,31786
Bangladesh,BGD,1930,34427
Bangladesh,BGD,1940,41966
Bangladesh,BGD,1950,45645.96400000001
Bangladesh,BGD,1960,54593
Bangladesh,BGD,1970,67331
Bangladesh,BGD,1980,87937
Bangladesh,BGD,1990,111437
Bangladesh,BGD,2000,136681
