date,oat milk,soy milk,almond milk
2017-08-06,5,23,72
2017-08-13,4,23,70
2017-08-20,4,24,66
2017-08-27,4,20,61
2017-09-03,4,23,64
2017-09-10,4,23,59
2017-09-17,4,22,66
2017-09-24,5,23,64
2017-10-01,4,22,58
2017-10-08,4,22,61
2017-10-15,4,22,60
2017-10-22,4,21,58
2017-10-29,4,21,54
2017-11-05,5,23,57
2017-11-12,5,22,57
2017-11-19,3,20,54
2017-11-26,4,21,57
2017-12-03,4,21,55
2017-12-10,4,18,51
2017-12-17,5,19,50
2017-12-24,3,19,52
2017-12-31,6,23,75
2018-01-07,7,26,82
2018-01-14,8,26,83
2018-01-21,8,26,79
2018-01-28,9,28,80
2018-02-04,7,25,76
2018-02-11,6,23,76
2018-02-18,7,23,77
2018-02-25,8,26,73
2018-03-04,8,26,73
2018-03-11,7,21,75
2018-03-18,7,23,74
2018-03-25,7,22,70
2018-04-01,8,25,73
2018-04-08,8,22,73
2018-04-15,8,25,68
2018-04-22,8,23,72
2018-04-29,8,23,71
2018-05-06,8,22,67
2018-05-13,7,21,67
2018-05-20,8,21,66
2018-05-27,7,20,66
2018-06-03,8,21,70
2018-06-10,7,20,69
2018-06-17,8,19,68
2018-06-24,7,20,68
2018-07-01,7,20,65
2018-07-08,7,21,70
2018-07-15,8,22,78
2018-07-22,9,23,76
2018-07-29,9,23,93
2018-08-05,10,21,90
2018-08-12,11,21,75
2018-08-19,10,22,70
2018-08-26,10,21,68
2018-09-02,10,21,68
2018-09-09,10,22,67
2018-09-16,10,23,64
2018-09-23,9,22,66
2018-09-30,10,21,65
2018-10-07,10,22,66
2018-10-14,10,22,63
2018-10-21,10,21,64
2018-10-28,10,22,61
2018-11-04,10,20,65
2018-11-11,11,21,63
2018-11-18,9,20,57
2018-11-25,11,20,62
2018-12-02,10,22,60
2018-12-09,11,20,58
2018-12-16,11,20,56
2018-12-23,10,20,56
2018-12-30,15,23,79
2019-01-06,20,27,91
2019-01-13,16,26,88
2019-01-20,16,24,85
2019-01-27,16,25,82
2019-02-03,15,25,81
2019-02-10,15,24,78
2019-02-17,18,26,77
2019-02-24,16,22,74
2019-03-03,17,25,78
2019-03-10,17,24,75
2019-03-17,18,22,79
2019-03-24,17,25,77
2019-03-31,17,24,78
2019-04-07,17,22,73
2019-04-14,15,22,71
2019-04-21,16,20,67
2019-04-28,15,21,69
2019-05-05,16,21,70
2019-05-12,16,22,70
2019-05-19,17,21,68
2019-05-26,17,22,69
2019-06-02,17,20,72
2019-06-09,19,21,73
2019-06-16,18,21,73
2019-06-23,17,20,72
2019-06-30,16,21,69
2019-07-07,17,22,74
2019-07-14,19,22,74
2019-07-21,20,21,73
2019-07-28,18,22,74
2019-08-04,19,23,73
2019-08-11,19,22,73
2019-08-18,19,25,73
2019-08-25,17,21,68
2019-09-01,19,21,69
2019-09-08,19,24,74
2019-09-15,18,24,73
2019-09-22,19,23,68
2019-09-29,19,21,71
2019-10-06,18,23,70
2019-10-13,19,24,66
2019-10-20,19,25,68
2019-10-27,19,24,64
2019-11-03,23,27,68
2019-11-10,26,25,73
2019-11-17,21,27,72
2019-11-24,18,20,64
2019-12-01,19,23,63
2019-12-08,17,20,62
2019-12-15,18,20,59
2019-12-22,17,21,61
2019-12-29,24,26,75
2020-01-05,37,27,98
2020-01-12,36,28,94
2020-01-19,33,26,89
2020-01-26,37,28,83
2020-02-02,35,25,81
2020-02-09,34,25,81
2020-02-16,39,25,82
2020-02-23,39,25,79
2020-03-01,39,24,77
2020-03-08,37,23,73
2020-03-15,34,22,76
2020-03-22,37,23,78
2020-03-29,40,24,83
2020-04-05,43,27,88
2020-04-12,40,25,85
2020-04-19,38,25,87
2020-04-26,39,25,93
2020-05-03,36,28,91
2020-05-10,36,27,100
2020-05-17,34,29,94
2020-05-24,32,26,88
2020-05-31,31,25,81
2020-06-07,33,25,83
2020-06-14,30,25,81
2020-06-21,30,25,83
2020-06-28,31,25,79
2020-07-05,31,25,82
2020-07-12,34,25,82
2020-07-19,36,24,83
2020-07-26,34,25,79
2020-08-02,35,25,77
2020-08-09,32,24,78
2020-08-16,37,25,78
2020-08-23,42,25,79
2020-08-30,44,24,81
2020-09-06,44,25,78
2020-09-13,40,25,76
2020-09-20,39,23,72
2020-09-27,36,24,71
2020-10-04,35,24,69
2020-10-11,32,24,70
2020-10-18,34,24,68
2020-10-25,32,22,63
2020-11-01,29,18,61
2020-11-08,33,22,65
2020-11-15,33,22,67
2020-11-22,28,19,64
2020-11-29,28,19,63
2020-12-06,27,18,63
2020-12-13,28,19,60
2020-12-20,25,18,62
2020-12-27,33,20,69
2021-01-03,41,22,80
2021-01-10,39,22,81
2021-01-17,41,23,83
2021-01-24,42,24,83
2021-01-31,41,24,85
2021-02-07,46,23,80
2021-02-14,42,27,79
2021-02-21,41,25,79
2021-02-28,57,24,82
2021-03-07,54,21,78
2021-03-14,47,22,70
2021-03-21,47,22,75
2021-03-28,44,23,73
2021-04-04,47,24,70
2021-04-11,49,23,76
2021-04-18,48,23,72
2021-04-25,45,23,73
2021-05-02,43,23,67
2021-05-09,41,22,67
2021-05-16,44,22,68
2021-05-23,41,23,69
2021-05-30,40,23,68
2021-06-06,41,23,68
2021-06-13,43,21,70
2021-06-20,42,20,68
2021-06-27,41,20,65
2021-07-04,40,23,65
2021-07-11,44,24,69
2021-07-18,42,21,67
2021-07-25,41,22,66
2021-08-01,44,20,64
2021-08-08,42,20,66
2021-08-15,41,22,65
2021-08-22,41,21,70
2021-08-29,41,20,65
2021-09-05,41,21,64
2021-09-12,41,20,65
2021-09-19,41,19,62
2021-09-26,40,19,60
2021-10-03,42,21,61
2021-10-10,41,21,58
2021-10-17,41,19,57
2021-10-24,41,18,59
2021-10-31,39,18,60
2021-11-07,41,19,63
2021-11-14,39,18,61
2021-11-21,37,20,58
2021-11-28,38,18,56
2021-12-05,37,17,57
2021-12-12,35,18,54
2021-12-19,33,17,64
2021-12-26,39,17,61
2022-01-02,51,20,74
2022-01-09,51,20,71
2022-01-16,48,19,68
2022-01-23,50,22,71
2022-01-30,49,22,74
2022-02-06,49,24,68
2022-02-13,46,23,64
2022-02-20,46,22,63
2022-02-27,49,23,64
2022-03-06,48,22,64
2022-03-13,46,21,62
2022-03-20,49,24,66
2022-03-27,48,22,66
2022-04-03,50,22,65
2022-04-10,47,21,64
2022-04-17,44,21,59
2022-04-24,46,22,62
2022-05-01,46,22,59
2022-05-08,45,22,59
2022-05-15,48,21,63
2022-05-22,46,19,59
2022-05-29,44,21,56
2022-06-05,48,22,60
2022-06-12,45,21,60
2022-06-19,47,22,60
2022-06-26,43,21,58
2022-07-03,48,20,62
2022-07-10,50,22,66
2022-07-17,50,22,60
2022-07-24,48,22,63
